Thomson Reuters Eikon,,,,,,
Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary,Thomson Reuters Ownership Summary
Luxembourg,23,"0,05%","1,65M","58,34M",,
Finland,4,"0,04%","1,22M","42,67M",,
Sweden,15,"0,04%","1,21M","42,78M",,
Singapore,2,"0,03%","0,92M","32,07M",,
Denmark,7,"0,02%","0,74M","26,37M",,
Mexico,3,"0,02%","0,57M","20,03M",,
Australia,7,"0,02%","0,55M","19,61M",,
Austria,15,"0,02%","0,48M","17,46M",,
Japan,10,"0,01%","0,33M","12,19M",,
Portugal,7,"0,01%","0,20M","7,01M",,
Guernsey,1,"0,01%","0,18M","6,11M",,
Liechtenstein,5,"0,00%","0,13M","4,84M",,
South Africa,2,"0,00%","0,08M","2,77M",,
Hong Kong,6,"0,00%","0,07M","2,66M",,
Taiwan,8,"0,00%","0,06M","2,15M",,
South Korea,4,"0,00%","0,06M","1,98M",,
Greece,2,"0,00%","0,04M","1,67M",,
India,1,"0,00%","0,04M","1,46M",,
Ukraine,1,0%,"0,03M","1,11M",,
Poland,2,"0,00%","0,03M","0,97M",,
Czech Republic,1,"0,00%","0,02M","0,82M",,
Chile,1,"0,00%","0,01M","0,40M",,
Andorra,1,"0,00%","0,01M","0,26M",,
Brazil,1,0%,"0,00M","0,01M",,
Bermuda,0,0%,0,0,,
Grand Total,620,"79,32%","2.472,73M","88.436,32M",,
METRO AREA,Investors,% O/S,Position (M Shares),Value (M USD),,
"Los Angeles-Long Beach-Santa Ana, CA",8,"1,29%","40,08M","1.396,66M",,
"New York-Northern New Jersey-Long Island, NY-NJ-PA",40,"1,17%","36,36M","1.270,08M",,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,"0,84%","26,28M","915,88M",,
"San Francisco-Oakland-Fremont, CA",11,"0,60%","18,76M","653,68M",,
"Boston-Cambridge-Quincy, MA-NH",15,"0,50%","15,55M","541,92M",,
"Sacramento--Arden-Arcade--Roseville, CA",1,"0,15%","4,81M","159,74M",,
"Tallahassee, FL",1,"0,14%","4,24M","149,33M",,
"Chicago-Naperville-Joliet, IL-IN-WI",8,"0,08%","2,41M","88,75M",,
"San Antonio, TX",1,"0,02%","0,73M","25,37M",,
"Anchorage, AK",1,"0,02%","0,59M","22,25M",,
"Kansas City, MO-KS",2,"0,01%","0,29M","10,13M",,
"San Diego-Carlsbad-San Marcos, CA",2,"0,01%","0,28M","10,19M",,
"Albany-Schenectady-Troy, NY",1,"0,01%","0,17M","6,04M",,
"Pittsburgh, PA",2,"0,01%","0,17M","6,03M",,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,"0,01%","0,17M","6,01M",,
"Des Moines-West Des Moines, IA",1,"0,00%","0,08M","2,86M",,
"Seattle-Tacoma-Bellevue, WA",2,"0,00%","0,06M","2,12M",,
"Madison, WI",1,"0,00%","0,05M","1,74M",,
"Denver-Aurora, CO",1,"0,00%","0,04M","1,42M",,
"Dallas-Fort Worth-Arlington, TX",2,"0,00%","0,03M","1,03M",,
"Minneapolis-St. Paul-Bloomington, MN-WI",1,"0,00%","0,02M","0,84M",,
"Springfield, MA",1,"0,00%","0,02M","0,76M",,
"Miami-Fort Lauderdale-Pompano Beach, FL",2,"0,00%","0,02M","0,55M",,
"Detroit-Warren-Livonia, MI",1,"0,00%","0,01M","0,44M",,
"Cleveland-Elyria-Mentor, OH",1,"0,00%","0,01M","0,34M",,
"Nashville-Davidson--Murfreesboro--Franklin, TN",1,"0,00%","0,01M","0,32M",,
"Atlanta-Sandy Springs-Marietta, GA",1,"0,00%","0,01M","0,32M",,
"Salt Lake City, UT",1,0%,"0,00M","0,03M",,
"Charlotte-Gastonia-Concord, NC-SC",0,0%,0,0,,
"Richmond, VA",0,0%,0,0,,
Grand Total,120,"4,85%","151,24M","5.274,83M",,
ROTATION,Investors,% O/S,Position (M Shares),Value (M USD),,
Buys,9,"0,50%","15,60M","559,37M",,
Sells,4,"0,35%","10,87M","389,64M",,
No Change,732,"79,32%","2.472,72M","88.436,07M",,
Grand Total,745,"80,17%","2.499,19M","89.385,08M",,
TURNOVER,Investors,% O/S,Position (M Shares),Value (M USD),,
High,86,"0,68%","21,24M","741,89M",,
Moderate,228,"3,11%","96,95M","3.468,55M",,
Low,393,"75,47%","2.352,42M","84.151,88M",,
Grand Total,707,"79,26%","2.470,62M","88.362,32M",,
